[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-handle-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-handle-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-heap-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-heap-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-interlocked-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-interlocked-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-libraryloader-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-libraryloader-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-localization-l1-2-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-localization-l1-2-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-memory-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-memory-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-namedpipe-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-namedpipe-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-processenvironment-l1-1-0.dll
